Ticker,Description,Brokerage
AAPL,APPLE INC,Schwab
ADYEY,ADYEN N V UNSPONSORED ADR,Chase YouInvest
AMD,ADVANCED MICRO DEVICES INC COM,Chase YouInvest
AMZN,AMAZON.COM INC,Schwab
BA,BOEING CO,Chase YouInvest
BABA,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,Schwab
BX,BLACKSTONE INC,Schwab
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A COMMON STOCK,Chase YouInvest
DIS,WALT DISNEY CO,Chase YouInvest
EEM,ISHARES MSCI EMERGING MARKETS ETF,Schwab
EL,ESTEE LAUDER COMPANIES INC CL A,Chase YouInvest
ETCG,GRAYSCALE ETHEREUM CLASS,Schwab
GOOG,ALPHABET INC CLASS CLASS C,Schwab
HLIEX,JPMORGAN TR II EQUITY INCOME FD CL I,Chase YouInvest
JPIB,JPMORGAN INTERNATINAL BND OPPORT ETF,Schwab
JPM,JPMORGAN CHASE & CO,Chase YouInvest
META,META PLATFORMS INC CLASS A COMMON STOCK,Chase YouInvest
MSFT,MICROSOFT CORP,Chase YouInvest
NBIS,NEBIUS GROUP N V CLASS A ORDINARY SHARES,Chase YouInvest
NFLX,NETFLIX INC COM,Chase YouInvest
NKE,NIKE INC CLASS B COM,Chase YouInvest
NVDA,NVIDIA CORP,Chase YouInvest
POLRX,POLEN GROWTH INVESTOR,Schwab
QQQ,INVESCO QQQ TR UNIT SER 1,Chase YouInvest
SPY,STATE STREET SPDR S&P 500 ETF TRUST UNITS,Chase YouInvest
TSLA,TESLA INC COMMON STOCK,Chase YouInvest
WCMRX,WCM FOCUSED INTERNATIONAL GROWTH INV,Schwab
XLV,SELECT SECTOR SPDR TRUST STATE STREET HEALTH CARE SELECT SECTOR SPDR ETF,Chase YouInvest
XOP,ST SRT SPDR S&P OIL AND GS EXPN ETF,Schwab
